gpt-5.6-sol	505	87
gpt-5.6-sol	483	94
gpt-5.6-sol	471	92
gpt-5.6-sol	497	94
gpt-5.6-sol	483	100
gpt-5.6-sol	569	90
gpt-5.6-sol	475	69
gpt-5.6-sol	491	93
gpt-5.6-sol	545	106
gpt-5.6-sol	487	91
gpt-5.6-sol	451	102
gpt-5.6-sol	495	96
gpt-5.6-sol	469	93
gpt-5.6-sol	533	106
gpt-5.6-sol	513	88
gpt-5.6-sol	599	109
gpt-5.6-sol	489	108
gpt-5.6-sol	477	87
gpt-5.6-sol	455	124
gpt-5.6-sol	487	90
gpt-5.6-sol	451	89
gpt-5.6-sol	443	79
gpt-5.6-sol	443	78
gpt-5.6-sol	469	97
gpt-5.6-sol	2001	88
gpt-5.6-sol	1934	91
gpt-5.6-sol	1874	88
gpt-5.6-sol	465	96
gpt-5.6-sol	481	101
gpt-5.6-sol	1766	80
gpt-5.6-sol	1909	121
gpt-5.6-sol	2105	80
gpt-5.6-sol	459	90
gpt-5.6-sol	1913	109
gpt-5.6-sol	2020	82
gpt-5.6-sol	1790	94
gpt-5.6-sol	1996	100
gpt-5.6-sol	535	203
gpt-5.6-sol	1894	134
gpt-5.6-sol	2125	105
gpt-5.6-sol	2066	106
gpt-5.6-sol	459	112
gpt-5.6-sol	2029	108
gpt-5.6-sol	1787	64
gpt-5.6-sol	2275	96
gpt-5.6-sol	471	201
gpt-5.6-sol	1942	123
gpt-5.6-sol	1899	80
gpt-5.6-sol	1940	93
gpt-5.6-sol	487	104
gpt-5.6-sol	2307	46
gpt-5.6-sol	2175	60
gpt-5.6-sol	1913	91
gpt-5.6-sol	1974	93
gpt-5.6-sol	2129	219
gpt-5.6-sol	1798	90
gpt-5.6-sol	2888	85
gpt-5.6-sol	2402	120
gpt-5.6-sol	2593	100
gpt-5.6-sol	2212	46
gpt-5.6-sol	1853	84
gpt-5.6-sol	2089	68
gpt-5.6-sol	1797	124
gpt-5.6-sol	2373	98
gpt-5.6-sol	1755	94
gpt-5.6-sol	2579	39
gpt-5.6-sol	1900	90
gpt-5.6-sol	2365	105
gpt-5.6-sol	2181	53
gpt-5.6-sol	2253	144
gpt-5.6-sol	2910	100
gpt-5.6-sol	2049	55
gpt-5.6-sol	2429	89
gpt-5.6-sol	2583	46
